City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,87,NZ,1600828761,76,-46.19,168.86,59.0,5.99
Inuvik,75,CA,1600828983,87,68.35,-133.72,42.8,2.24
Inírida,55,CO,1600829180,86,3.87,-67.92,77.29,2.35
Chokurdakh,48,RU,1600828765,68,70.63,147.92,48.29,8.46
Esperance,40,AU,1600828856,67,-33.87,121.9,59.0,4.7
Camabatela,83,AO,1600829181,97,-8.19,15.38,61.54,4.14
Albany,0,US,1600828503,51,42.6,-73.97,57.99,5.01
Lagoa,100,PT,1600829181,80,39.05,-27.98,68.41,25.5
Port Hardy,90,CA,1600829182,82,50.7,-127.42,57.2,20.8
Corinth,0,GR,1600828428,57,37.94,22.96,68.0,1.01
Rikitea,100,PF,1600829182,76,-23.12,-134.97,72.75,18.88
Port Blair,100,IN,1600829182,75,11.67,92.75,84.42,6.73
Jamestown,1,US,1600829162,71,42.1,-79.24,55.4,11.41
Sangar,55,RU,1600829183,48,63.92,127.47,53.42,1.77
Lodja,42,CD,1600829183,97,-3.48,23.43,69.19,2.98
Cockburn Town,100,TC,1600829183,81,21.46,-71.14,81.97,14.05
Vaini,20,TO,1600828498,78,-21.2,-175.2,77.0,13.87
Chumikan,49,RU,1600829184,57,54.72,135.31,59.83,4.16
Cape Town,4,ZA,1600828816,87,-33.93,18.42,57.99,10.29
Westport,1,US,1600828803,44,41.14,-73.36,59.0,3.36
Talnakh,40,RU,1600828803,87,69.49,88.4,46.4,15.66
Port Elizabeth,0,ZA,1600828836,81,-33.92,25.57,46.4,2.24
Ushuaia,40,AR,1600828710,75,-54.8,-68.3,41.0,6.93
Qaanaaq,2,GL,1600828764,80,77.48,-69.36,12.38,9.84
Hermanus,33,ZA,1600828754,94,-34.42,19.23,51.01,1.99
Atuona,0,PF,1600828756,69,-9.8,-139.03,78.87,18.92
Bredasdorp,30,ZA,1600828763,93,-34.53,20.04,44.6,2.48
Gornopravdinsk,100,RU,1600828983,86,60.05,69.9,39.04,14.2
Port Lincoln,45,AU,1600828943,68,-34.73,135.87,56.7,15.5
Kirkuk,0,IQ,1600829011,28,35.47,44.39,74.35,2.98
Norman Wells,20,CA,1600828763,41,65.28,-126.83,57.2,5.82
Souillac,75,MU,1600828794,88,-20.52,57.52,62.6,2.24
São Félix do Xingu,50,BR,1600828840,67,-6.64,-51.99,77.77,2.37
San Cristobal,89,VE,1600829186,83,7.77,-72.22,66.69,1.86
Abhā,88,SA,1600828678,12,18.22,42.51,64.4,11.12
Moree,0,AU,1600828804,25,-29.47,149.85,75.2,13.87
Hailey,5,US,1600829186,31,43.52,-114.32,64.4,4.7
Punta Arenas,75,CL,1600828839,81,-53.15,-70.92,42.8,11.41
Ballina,46,AU,1600828704,29,-28.87,153.57,84.0,6.93
Butaritari,2,KI,1600828753,76,3.07,172.79,82.45,17.11
Khatanga,18,RU,1600828755,56,71.97,102.5,51.42,18.52
Pacific Grove,0,US,1600828892,89,36.62,-121.92,63.0,1.01
Tuktoyaktuk,90,CA,1600828508,86,69.45,-133.04,39.2,5.82
Hithadhoo,93,MV,1600828535,67,-0.6,73.08,81.75,5.59
Pisco,0,PE,1600828788,87,-13.7,-76.22,61.0,9.17
Lebu,87,CL,1600828758,85,-37.62,-73.65,48.0,16.8
Airai,12,TL,1600828770,43,-8.93,125.41,79.41,6.42
Petropavl,100,KZ,1600829188,88,54.88,69.16,41.5,20.78
George Town,20,MY,1600828760,78,5.41,100.34,84.2,3.36
Cidreira,0,BR,1600828764,76,-30.18,-50.21,59.05,19.33
Celestún,10,MX,1600829189,81,20.87,-90.4,81.9,10.6
Ilulissat,0,GL,1600828782,73,69.22,-51.1,24.8,4.68
Suihua,96,CN,1600829191,78,46.64,127.0,60.53,7.67
Mataura,87,NZ,1600828761,76,-46.19,168.86,59.0,5.99
Inuvik,75,CA,1600828983,87,68.35,-133.72,42.8,2.24
Inírida,55,CO,1600829180,86,3.87,-67.92,77.29,2.35
Chokurdakh,48,RU,1600828838,68,70.63,147.92,48.29,8.46
Esperance,40,AU,1600829253,67,-33.87,121.9,59.0,4.7
Camabatela,83,AO,1600829254,97,-8.19,15.38,61.54,4.14
Albany,0,US,1600829004,52,42.6,-73.97,57.99,5.01
Lagoa,100,PT,1600828778,80,39.05,-27.98,68.25,25.84
Port Hardy,90,CA,1600828896,82,50.7,-127.42,57.2,20.8
Corinth,0,GR,1600829255,58,37.94,22.96,68.0,1.99
Rikitea,100,PF,1600828754,76,-23.12,-134.97,72.75,19.1
Port Blair,100,IN,1600828956,75,11.67,92.75,84.42,6.73
Jamestown,1,US,1600828754,71,42.1,-79.24,55.4,11.41
Sangar,72,RU,1600829255,49,63.92,127.47,53.24,1.61
